Model,Split,Target,Residual
Linear Regression,train,triglycerides,0.421654153209829
Linear Regression,train,triglycerides,0.8396303703313359
Linear Regression,train,triglycerides,1.0212772489203
Linear Regression,train,triglycerides,0.716223245146919
Linear Regression,train,triglycerides,-0.22159822320706368
Linear Regression,train,triglycerides,-0.14989438831319024
Linear Regression,train,triglycerides,0.10215572447310173
Linear Regression,train,triglycerides,1.390377379409328
Linear Regression,train,triglycerides,0.18008172838150927
Linear Regression,train,triglycerides,-0.008481253087350815
Linear Regression,train,triglycerides,0.9437469427117184
Linear Regression,train,triglycerides,0.08196555977784303
Linear Regression,train,triglycerides,-0.38881379140402395
Linear Regression,train,triglycerides,-1.2773404573566496
Linear Regression,train,triglycerides,0.48302155307595473
Linear Regression,train,triglycerides,-0.6087213169907213
Linear Regression,train,triglycerides,0.5009143071364681
Linear Regression,train,triglycerides,-0.29548505356409027
Linear Regression,train,triglycerides,0.17260356148820932
Linear Regression,train,triglycerides,1.7818451376433506
Linear Regression,train,triglycerides,-0.1970308734742865
Linear Regression,train,triglycerides,-0.04010612688005555
Linear Regression,train,triglycerides,-0.4422280185491516
Linear Regression,train,triglycerides,-0.6305683192836726
Linear Regression,train,triglycerides,-0.09142417878739639
Linear Regression,train,triglycerides,0.5047751580504585
Linear Regression,train,triglycerides,-0.5953850580646449
Linear Regression,train,triglycerides,0.3007985211569215
Linear Regression,train,triglycerides,-0.5399536256677688
Linear Regression,train,triglycerides,-0.38093226992355156
Linear Regression,train,triglycerides,-0.6777754111040233
Linear Regression,train,triglycerides,0.14842577747421526
Linear Regression,train,triglycerides,-0.7863846095543474
Linear Regression,train,triglycerides,-0.4218809804179564
Linear Regression,train,triglycerides,-0.3751065514448566
Linear Regression,train,triglycerides,-0.6016671236947344
Linear Regression,train,triglycerides,-0.7614879878886209
Linear Regression,train,triglycerides,0.5960707147470137
Linear Regression,train,triglycerides,0.18691619182268493
Linear Regression,train,triglycerides,-0.5799837100806267
Linear Regression,train,triglycerides,0.20129217829996682
Linear Regression,train,triglycerides,0.41360017158057794
Linear Regression,train,triglycerides,0.021494950309952188
Linear Regression,train,triglycerides,-1.1457621004242378
Linear Regression,train,triglycerides,1.1040761225541171
Linear Regression,train,triglycerides,-0.9448510800691161
Linear Regression,train,triglycerides,-0.5898922642357167
Linear Regression,train,triglycerides,-0.1930592886034459
Linear Regression,train,triglycerides,0.32842222827994494
Linear Regression,train,triglycerides,-0.7492519967447517
Linear Regression,train,triglycerides,-0.41324874537498113
Linear Regression,train,triglycerides,0.10546186211270125
Linear Regression,train,triglycerides,-0.021621936037723444
Linear Regression,train,triglycerides,-0.21289801611877657
Linear Regression,train,triglycerides,0.16456650369169523
Linear Regression,train,triglycerides,1.8467594330728234
Linear Regression,train,triglycerides,0.676550037811249
Linear Regression,train,triglycerides,-0.4057185099220568
Linear Regression,train,triglycerides,0.2808269641382415
Linear Regression,train,triglycerides,-0.29686584234467617
Linear Regression,train,triglycerides,0.2046827242327538
Linear Regression,train,triglycerides,0.1256446473949273
Linear Regression,train,triglycerides,0.3102174307573424
Linear Regression,train,triglycerides,-0.788889393535301
Linear Regression,train,triglycerides,0.16282337526297042
Linear Regression,train,triglycerides,0.13475222926128216
Linear Regression,train,triglycerides,-0.39739759530288365
Linear Regression,train,triglycerides,-0.19258769427179923
Linear Regression,train,triglycerides,-0.20005454932239974
Linear Regression,train,triglycerides,0.1763617030009339
Linear Regression,train,triglycerides,-0.5111979355094474
Linear Regression,train,triglycerides,-0.842252739668941
Linear Regression,train,triglycerides,0.6307966385155765
Linear Regression,train,triglycerides,-0.8701871137867792
Linear Regression,train,triglycerides,0.034039752604916096
Linear Regression,train,triglycerides,0.09766254101002936
Linear Regression,train,triglycerides,0.3648961592971025
Linear Regression,train,triglycerides,-0.04163264087820462
Linear Regression,train,triglycerides,-0.014582727833015952
Linear Regression,train,triglycerides,-0.07451379443585093
Linear Regression,train,triglycerides,0.4924593918016509
Linear Regression,train,triglycerides,-0.7957231012200472
Linear Regression,train,triglycerides,0.4343870339916389
Linear Regression,train,triglycerides,-0.046185062226294704
Linear Regression,train,triglycerides,0.35675021133355056
Linear Regression,train,triglycerides,0.11095147445335574
Linear Regression,train,triglycerides,0.14082934086168475
Linear Regression,train,triglycerides,-0.5938250368591191
Linear Regression,train,triglycerides,-0.5095520318613271
Linear Regression,train,triglycerides,0.1943951113188609
Linear Regression,train,triglycerides,-1.0342682996532413
Linear Regression,train,triglycerides,0.8895400226517332
Linear Regression,train,triglycerides,-0.36116538289181044
Linear Regression,train,triglycerides,0.22521373564671165
Linear Regression,train,triglycerides,-0.405863808821576
Linear Regression,train,triglycerides,0.6788872861879227
Linear Regression,train,triglycerides,-0.5514984747388594
Linear Regression,train,triglycerides,-0.7763316265416589
Linear Regression,train,triglycerides,0.13803854382437208
Linear Regression,train,triglycerides,0.053905938818711086
Linear Regression,train,triglycerides,0.8561617083312756
Linear Regression,train,triglycerides,0.3014177534691429
Linear Regression,train,triglycerides,-1.02461098473816
Linear Regression,train,triglycerides,0.044100234876610855
Linear Regression,train,triglycerides,-0.41525619822914983
Linear Regression,train,triglycerides,1.0010074742159931
Linear Regression,train,triglycerides,-0.3682800882807884
Linear Regression,train,triglycerides,0.5256877474640351
Linear Regression,train,triglycerides,-0.5743912155811493
Linear Regression,train,triglycerides,-0.7990736684604061
Linear Regression,train,triglycerides,-0.14835938726076758
Linear Regression,train,triglycerides,0.7971613495673919
Linear Regression,train,triglycerides,-0.5896693499437182
Linear Regression,train,triglycerides,-0.15666447173603837
Linear Regression,train,triglycerides,-1.3274133784811313
Linear Regression,train,triglycerides,-0.2896216533960043
Linear Regression,train,triglycerides,-1.247073067063838
Linear Regression,train,triglycerides,0.1381789151590529
Linear Regression,train,triglycerides,0.5579319319205749
Linear Regression,train,triglycerides,0.15946221349653644
Linear Regression,train,triglycerides,-0.5648921642520515
Linear Regression,train,triglycerides,0.2990486960250127
Linear Regression,train,triglycerides,-0.684382565485397
Linear Regression,train,triglycerides,-0.19888954715585339
Linear Regression,train,triglycerides,0.38683476546794004
Linear Regression,train,triglycerides,0.29890056761717076
Linear Regression,train,triglycerides,-0.22281425262611254
Linear Regression,train,triglycerides,-0.21013984843848377
Linear Regression,train,triglycerides,1.172813498009372
Linear Regression,train,triglycerides,-0.11693297710617756
Linear Regression,train,triglycerides,-0.019476470184373262
Linear Regression,train,triglycerides,0.07744065062156835
Linear Regression,train,triglycerides,0.1884671819194903
Linear Regression,train,triglycerides,-0.8343011933708198
Linear Regression,train,triglycerides,-0.6171463947230036
Linear Regression,train,triglycerides,-0.2664534403751686
Linear Regression,train,triglycerides,-0.2881698041143719
Linear Regression,train,triglycerides,-0.028324845870716153
Linear Regression,train,triglycerides,0.18931596856066601
Linear Regression,train,triglycerides,0.2860109041342911
Linear Regression,train,triglycerides,0.44319175794014853
Linear Regression,train,triglycerides,-0.5040153626217263
Linear Regression,train,triglycerides,0.010415222111719302
Linear Regression,train,triglycerides,-0.660938343461916
Linear Regression,train,triglycerides,0.10476672543384602
Linear Regression,train,triglycerides,0.15749357335014658
Linear Regression,train,triglycerides,-0.5161277153268848
Linear Regression,train,triglycerides,0.9905395020116456
Linear Regression,train,triglycerides,-0.40506430089785983
Linear Regression,train,triglycerides,-0.5147422463915996
Linear Regression,train,triglycerides,-1.2992453787782687
Linear Regression,train,triglycerides,-0.9491781513197757
Linear Regression,train,triglycerides,-0.5184411283288259
Linear Regression,train,triglycerides,0.05912679979902702
Linear Regression,train,triglycerides,0.741807336263955
Linear Regression,train,triglycerides,-0.3824939875074298
Linear Regression,train,triglycerides,-0.47948427381568326
Linear Regression,train,triglycerides,-1.0029727847557428
Linear Regression,train,triglycerides,0.45832686000650735
Linear Regression,train,triglycerides,0.17073877039117935
Linear Regression,train,triglycerides,0.23165997426697604
Linear Regression,train,triglycerides,0.9100104385260996
Linear Regression,train,triglycerides,-0.15271837193474713
Linear Regression,train,triglycerides,-0.1601653175883051
Linear Regression,train,triglycerides,0.08857595342392788
Linear Regression,train,triglycerides,0.05788856062789094
Linear Regression,train,triglycerides,-0.6777679248224402
Linear Regression,train,triglycerides,0.8352037582189924
Linear Regression,train,triglycerides,-0.5937825423960921
Linear Regression,train,triglycerides,-0.3659212090076194
Linear Regression,train,triglycerides,0.3148949124312832
Linear Regression,train,triglycerides,0.0788402653189797
Linear Regression,train,triglycerides,0.032608555339173506
Linear Regression,train,triglycerides,-0.27852841099780346
Linear Regression,train,triglycerides,0.751767923299342
Linear Regression,train,triglycerides,-0.43022311519145484
Linear Regression,train,triglycerides,-0.38720831084233476
Linear Regression,train,triglycerides,0.04973578664870093
Linear Regression,train,triglycerides,-0.04070748061763929
Linear Regression,train,triglycerides,-0.45699030877476066
Linear Regression,train,triglycerides,0.12729273226661242
Linear Regression,train,triglycerides,-0.25584782155811236
Linear Regression,train,triglycerides,-0.7362850983598466
Linear Regression,train,triglycerides,0.015958060804378782
Linear Regression,train,triglycerides,-0.2593335611468639
Linear Regression,train,triglycerides,0.11497541744378648
Linear Regression,train,triglycerides,0.7186246443522579
Linear Regression,train,triglycerides,0.019853495571035218
Linear Regression,train,triglycerides,1.1032259680399905
Linear Regression,train,triglycerides,-0.5674597868588891
Linear Regression,train,triglycerides,-0.042631843156482496
Linear Regression,train,triglycerides,0.13701751943275564
Linear Regression,train,triglycerides,0.6883922280413852
Linear Regression,train,triglycerides,-0.27996351882326787
Linear Regression,train,triglycerides,0.1653565847852878
Linear Regression,train,triglycerides,-0.3857637077731839
Linear Regression,train,triglycerides,0.14946861397691302
Linear Regression,train,triglycerides,-0.9072162643991151
Linear Regression,train,triglycerides,0.007611845314455579
Linear Regression,train,triglycerides,0.1414457623096954
Linear Regression,train,triglycerides,-0.2607931522007063
Linear Regression,train,triglycerides,-0.14921877858745347
Linear Regression,train,triglycerides,-0.185261423743607
Linear Regression,train,triglycerides,-0.019573361564098946
Linear Regression,train,triglycerides,0.18930969819816212
Linear Regression,train,triglycerides,-0.7793729822646664
Linear Regression,train,triglycerides,0.5796845229138183
Linear Regression,train,triglycerides,-0.013794973456877635
Linear Regression,train,triglycerides,-0.1247778881047017
Linear Regression,train,triglycerides,-0.6644221899035285
Linear Regression,train,triglycerides,0.2253796131230077
Linear Regression,train,triglycerides,-0.6292012148727109
Linear Regression,train,triglycerides,0.23645439874582763
Linear Regression,train,triglycerides,0.8271047036023536
Linear Regression,train,triglycerides,0.1554441550279293
Linear Regression,train,triglycerides,1.0484662154695066
Linear Regression,train,triglycerides,-0.10679276468997578
Linear Regression,train,triglycerides,0.18403378943051507
Linear Regression,train,triglycerides,0.11483246357140864
Linear Regression,train,triglycerides,-0.037651699726817256
Linear Regression,train,triglycerides,0.17727312801376005
Linear Regression,train,triglycerides,0.0061090583981116
Linear Regression,train,triglycerides,-0.24610392892261057
Linear Regression,train,triglycerides,0.17473732721174873
Linear Regression,train,triglycerides,-0.13810748130444672
Linear Regression,train,triglycerides,-0.6312512216442334
Linear Regression,train,triglycerides,0.12466574750238024
Linear Regression,train,triglycerides,0.5704490899405457
Linear Regression,train,triglycerides,0.37712788665089736
Linear Regression,train,triglycerides,1.1344520855124456
